"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 12:22:33 GMT 2023","Thu Jun 22 12:22:33 GMT 2023","0","tests","test_api_request","","","","API get user test",""
"passed","Thu Jun 22 12:22:32 GMT 2023","Thu Jun 22 12:22:33 GMT 2023","391","tests","test_api_post_user","","","","API post user test",""
"failed","Thu Jun 22 12:22:41 GMT 2023","Thu Jun 22 12:22:41 GMT 2023","230","tests","test_disappearing_elements","TestDisappearingElements","","","Disappearing Elements test",""
"passed","Thu Jun 22 12:22:26 GMT 2023","Thu Jun 22 12:22:32 GMT 2023","5743","tests","test_add_element_button","TestAddElementButton","","","Add element buttons test",""
"passed","Thu Jun 22 12:22:34 GMT 2023","Thu Jun 22 12:22:34 GMT 2023","30","tests","test_basic_auth","TestPopupLogin","","","Basic authentication test (Website)",""
"passed","Thu Jun 22 12:22:38 GMT 2023","Thu Jun 22 12:22:38 GMT 2023","310","tests","test_context_menu","TestContextMenu","","","Context menu test",""
"passed","Thu Jun 22 12:22:44 GMT 2023","Thu Jun 22 12:22:44 GMT 2023","125","tests","test_list","TestSelect","","","Checkbox testing",""
"passed","Thu Jun 22 12:22:32 GMT 2023","Thu Jun 22 12:22:32 GMT 2023","416","tests","test_api_auth","","","","API post test with authentication",""
"broken","Thu Jun 22 12:22:41 GMT 2023","Thu Jun 22 12:22:41 GMT 2023","0","tests","test_dropdown_list","TestDropdownList","","","Dropdown list test",""
"passed","Thu Jun 22 12:22:36 GMT 2023","Thu Jun 22 12:22:36 GMT 2023","673","tests","test_broken_image","TestBrokenImage","","","Broken image test",""
